time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-31 00:00:00+00:00,30,12,0,0
2024-01-01 00:00:00+00:00,47,18,0,0
2024-01-02 00:00:00+00:00,1,1,0,0
2024-01-03 00:00:00+00:00,1,1,0,0
2024-01-04 00:00:00+00:00,32,13,0,0
2024-01-05 00:00:00+00:00,2,2,0,0
2024-01-06 00:00:00+00:00,1,1,0,0
2024-01-07 00:00:00+00:00,1,1,0,0
2024-01-08 00:00:00+00:00,3,3,0,0
2024-01-09 00:00:00+00:00,3,2,1,1
2024-01-10 00:00:00+00:00,1,1,0,0
2024-01-11 00:00:00+00:00,5,5,0,0
2024-01-12 00:00:00+00:00,2,2,0,0
2024-01-13 00:00:00+00:00,7,6,0,0
2024-01-14 00:00:00+00:00,2,2,0,0
2024-01-15 00:00:00+00:00,48,16,0,0
2024-01-16 00:00:00+00:00,4,4,11,1
2024-01-17 00:00:00+00:00,2,2,0,0
2024-01-18 00:00:00+00:00,2,2,0,0
2024-01-19 00:00:00+00:00,3,2,0,0
2024-01-20 00:00:00+00:00,2,2,0,0
2024-01-21 00:00:00+00:00,3,3,0,0
2024-01-22 00:00:00+00:00,3,3,0,0
2024-01-23 00:00:00+00:00,15,5,0,0
